Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
TCS,3.7,IT Services & Consulting | Mumbai +372 other locations,"Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",84.3k,8.6L,10k,88,11.8k,87,500
Accenture,3.9,IT Services & Consulting | Dublin +192 other locations,"Highly Rated For Company Culture, Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",52.7k,5.7L,7.8k,22.4k,7.3k,39,500
Wipro,3.7,IT Services & Consulting | Bangalore/Bengaluru +337 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",50.2k,4.4L,5.5k,555,5.2k,90,500
Cognizant,3.8,IT Services & Consulting | Teaneck. New Jersey. +189 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",47.2k,5.6L,5.4k,1.5k,6k,69,500
Capgemini,3.8,IT Services & Consulting | Paris +155 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",38.9k,4.2L,4.7k,1.2k,4.1k,41,500
HDFC Bank,3.9,Banking | Mumbai +1620 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",37.6k,1.4L,2k,161,3.3k,29,500
ICICI Bank,4,Banking | Mumbai +1327 other locations,"Highly Rated For Job Security, Skill Development / Learning, Company Culture",36.7k,1.5L,2.4k,--,3.8k,55,500
Infosys,3.7,IT Services & Consulting | Bengaluru/Bangalore +195 other locations,"Highly Rated For Job Security, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",36.5k,4.6L,7.4k,960,5.3k,108,500
HCLTech,3.6,IT Services & Consulting | Noida +197 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",33.7k,3.2L,3.6k,164,4.2k,33,500
Tech Mahindra,3.6,IT Services & Consulting | Pune +283 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",33.1k,2.6L,3.7k,360,3.7k,63,500
